dt,code,price_open,price_close,price_highest,price_lowest,trade,trade_amount,amplitude,rise,amount_increase_decrease,turnover_rate,stock_code,stock_name
2025-12-15,002448,12.06,12.53,12.94,12.06,680963.0,866615541.66,7.48,6.55,0.77,14.95,002448,中原内配
2025-12-16,002471,5.83,6.17,6.42,5.65,6715029.0,4005993531.47,13.18,5.65,0.33,50.28,002471,中超控股
2025-12-26,002476,6.41,6.71,6.78,6.37,525817.0,345838602.34,6.43,5.17,0.33,8.59,002476,宝莫股份
2025-12-30,002490,6.56,6.89,7.08,6.46,619538.0,416745096.44,9.51,5.67,0.37,11.44,002490,山东墨龙
2025-12-08,002492,7.7,8.43,8.43,7.62,294156.0,240093914.78,10.57,10.05,0.77,7.39,002492,恒基达鑫
2025-12-11,002498,3.71,3.97,4.06,3.71,1865670.0,743015318.67,9.49,7.59,0.28,5.61,002498,汉缆股份
2025-12-09,002506,2.76,2.86,2.95,2.7,6951924.0,1945741381.84,9.06,3.62,0.1,11.89,002506,协鑫集成
2025-12-26,002506,2.71,2.93,2.93,2.71,4475744.0,1284197312.62,8.27,10.15,0.27,7.66,002506,协鑫集成
2025-12-26,002535,3.83,3.99,4.21,3.79,735041.0,301095056.32,10.97,4.18,0.16,9.85,002535,林州重机
2025-12-08,002536,22.16,23.43,23.76,21.98,435872.0,1008475696.52,8.17,7.48,1.63,8.01,002536,飞龙股份
2025-12-15,002537,8.05,8.18,8.45,7.99,561950.0,463164352.22,5.78,2.76,0.22,4.81,002537,海联金汇
2025-12-16,002537,8.17,8.52,8.65,8.06,944093.0,794211940.88,7.21,4.16,0.34,8.07,002537,海联金汇
2026-01-06,002551,3.79,3.87,4.1,3.79,328674.0,128841830.38,8.18,2.11,0.08,5.38,002551,尚荣医疗
2025-12-15,002570,6.2,6.4,6.6,6.2,1340425.0,858708833.69,6.58,5.26,0.32,12.41,002570,贝因美
2025-12-25,002583,10.79,11.89,11.89,10.78,1337382.0,1548421316.34,10.27,9.99,1.08,10.43,002583,海能达
2025-12-25,002599,8.08,8.15,8.22,7.97,239803.0,194662067.52,3.16,3.03,0.24,6.03,002599,盛通股份
2025-12-30,002599,8.44,8.59,8.97,8.35,614597.0,529293427.06,7.46,3.37,0.28,15.44,002599,盛通股份
2025-12-11,002607,2.65,2.66,2.75,2.6,4522352.0,1210374942.99,5.66,0.38,0.01,8.9,002607,中公教育
2025-12-25,002611,17.82,18.9,19.56,17.79,1266405.0,2365296592.07,9.93,6.06,1.08,12.64,002611,东方精工
2025-12-25,002626,18.82,20.03,20.16,18.81,183273.0,362444422.49,7.14,5.98,1.13,3.01,002626,金达威
2025-12-25,002628,4.25,4.27,4.41,4.22,306061.0,131619084.0,4.62,3.89,0.16,4.06,002628,成都路桥
2026-01-07,002645,15.31,15.75,15.94,15.21,365385.0,572319026.62,4.8,3.62,0.55,6.54,002645,华宏科技
2025-12-08,002657,26.47,27.67,28.67,26.37,368114.0,1020775173.5,8.76,5.33,1.4,10.95,002657,中科金财
2025-12-30,002657,28.53,30.02,30.98,28.4,655077.0,1949996158.06,9.1,5.85,1.66,19.49,002657,中科金财
2025-12-15,002669,13.15,14.1,14.18,13.13,291193.0,404970513.0,7.94,6.58,0.87,9.62,002669,康达新材
2025-12-22,002678,4.88,5.39,5.39,4.85,357843.0,186285559.5,11.02,10.0,0.49,2.64,002678,珠江钢琴
2026-01-05,002700,6.71,6.98,7.01,6.68,102390.0,70623177.0,4.92,4.02,0.27,3.89,002700,万憬能源
2025-12-18,002703,14.31,15.92,15.92,13.79,1805778.0,2773367535.36,14.72,10.02,1.45,30.81,002703,浙江世宝
2026-01-12,002722,15.45,16.13,16.59,15.35,145885.0,233970993.37,8.07,5.01,0.77,7.63,002722,物产金轮
2026-01-12,002729,17.94,18.85,19.15,17.74,384833.0,715645746.28,7.86,5.07,0.91,21.93,002729,好利科技
2025-12-11,002735,15.01,15.5,15.6,15.01,407641.0,627320962.34,4.0,5.01,0.74,14.53,002735,王子新材
2025-12-12,002735,15.5,16.32,17.05,15.18,731326.0,1186325680.52,12.06,5.29,0.82,26.08,002735,王子新材
2025-12-30,002757,16.9,17.7,17.7,16.69,233417.0,405101548.88,6.28,10.01,1.61,8.28,002757,南兴股份
2025-12-24,002765,11.49,12.18,12.25,11.48,331793.0,396819227.94,6.71,6.1,0.7,5.57,002765,蓝黛科技
2025-12-30,002765,12.12,12.9,13.29,12.07,644435.0,823354763.94,10.02,6.0,0.73,10.81,002765,蓝黛科技
2026-01-05,002773,29.75,32.97,32.97,29.61,200738.0,642949460.6,11.21,10.01,3.0,2.92,002773,康弘药业
2026-01-06,002773,33.49,33.75,34.04,33.12,249707.0,837762171.73,2.79,2.37,0.78,3.64,002773,康弘药业
2026-01-06,002774,10.55,11.23,11.23,10.48,243715.0,266262743.88,7.35,9.99,1.02,8.65,002774,快意电梯
2025-12-22,002788,15.98,16.82,16.82,15.64,1027222.0,1702005739.64,7.72,10.01,1.53,26.91,002788,鹭燕医药
2025-12-22,002800,14.11,15.42,15.42,14.01,100558.0,150228621.24,10.06,9.99,1.4,7.18,002800,天顺股份
2025-12-22,002810,14.08,14.54,14.54,14.08,215112.0,311005686.09,3.48,9.98,1.32,6.68,002810,山东赫达
2025-12-23,002810,15.0,15.99,15.99,14.8,434295.0,671267163.87,8.18,9.97,1.45,13.48,002810,山东赫达
2025-12-09,002815,13.79,14.35,14.7,13.71,776327.0,1109031858.96,7.22,4.67,0.64,9.99,002815,崇达技术
2026-01-05,002819,28.05,30.04,30.04,28.05,134122.0,391089168.78,7.29,10.0,2.73,5.71,002819,东方中科
2026-01-06,002819,30.04,30.65,31.87,29.58,296738.0,912485564.9,7.62,2.03,0.61,12.62,002819,东方中科
2025-12-26,002824,19.12,19.99,21.04,19.0,243520.0,494882868.57,10.66,4.5,0.86,12.87,002824,和胜股份
2025-12-09,002825,11.46,12.15,12.62,11.32,643453.0,788357582.76,11.33,5.93,0.68,25.08,002825,纳尔股份
