code,industry,industry_detail
SZ301234,医疗器械,医疗耗材
SH688247,化学制药,化学制剂
SH688775,消费电子,品牌消费电子
SZ300444,电网设备,输变电设备
SZ300867,环境治理,固废治理
SH688576,医疗器械,医疗耗材
SZ301678,半导体,半导体材料
SH688138,半导体,半导体材料
SH605177,化学制药,原料药
SH603012,专用设备,能源及重型设备
SH603657,白色家电,家电零部件
SH600490,工业金属,铜
SH688633,专用设备,能源及重型设备
SH688550,电子化学品,电子化学品
SH688159,通信设备,通信终端及配件
SZ300376,其他电源设备,其他电源设备
SZ300491,其他电源设备,其他电源设备
SH688369,软件开发,横向通用软件
SH603708,零售,百货零售
SH688472,光伏设备,光伏电池组件
SZ002772,种植业与林业,其他种植业
SH688590,软件开发,垂直应用软件
SZ300802,自动化设备,其他自动化设备
SZ000950,医药商业,医药流通
SH688598,光伏设备,光伏辅材
SH603826,非金属材料,非金属材料
SZ002531,风电设备,风电零部件
SZ002831,包装印刷,包装
SH600936,IT服务,IT服务
SH688035,电子化学品,电子化学品
SZ300909,光学光电子,面板
SH688110,半导体,数字芯片设计
SH688337,通用设备,仪器仪表
SH603353,石油加工贸易,油品石化贸易
SH688029,医疗器械,医疗耗材
SZ002173,医疗服务,医院
SZ301367,医疗器械,医疗设备
SZ002459,光伏设备,光伏电池组件
SH688399,医疗器械,体外诊断
SH603989,元件,被动元件
SZ301178,IT服务,IT服务
SH688199,化学制品,其他化学制品
SZ300042,计算机设备,其他计算机设备
SZ300452,化学制药,原料药
SH603439,中药,中药
SZ300298,医疗器械,医疗设备
SZ300757,自动化设备,其他自动化设备
SZ002028,电网设备,输变电设备
SH600237,元件,被动元件
SH603181,化学制品,其他化学制品
SZ300536,建筑装饰,装饰园林
SZ300400,自动化设备,其他自动化设备
SZ002675,化学制药,化学制剂
SH688139,医疗器械,医疗设备
SH688692,软件开发,横向通用软件
SH688260,消费电子,消费电子零部件及组装
SZ001389,元件,印制电路板
SZ300181,中药,中药
SZ300751,光伏设备,光伏加工设备
SH605488,塑料制品,膜材料
SZ300499,专用设备,其他专用设备
SH603520,化学制药,原料药
SZ301391,计算机设备,其他计算机设备
SH688227,IT服务,IT服务
SZ300984,通用设备,其他通用设备
SZ300194,化学制药,化学制剂
SZ002633,通用设备,金属制品
SZ000021,消费电子,消费电子零部件及组装
SH603067,化学原料,无机盐
SZ301258,化学制药,原料药
SH600774,化学制药,化学制剂
SH603040,汽车零部件,底盘与发动机系统
SH688363,美容护理,医疗美容
SH603444,游戏,游戏
SZ300009,生物制品,其他生物制品
SZ300512,专用设备,印刷包装机械
SZ002030,医疗器械,体外诊断
SZ300317,电力,新能源发电
SZ300601,生物制品,疫苗
SZ000597,化学制药,化学制剂
SZ000157,工程机械,工程机械
SH603063,风电设备,风电零部件
SZ300049,医疗器械,医疗设备
SZ300012,其他社会服务,专业服务
SZ002209,专用设备,印刷包装机械
